coachID,year,tmID,lgID,stint,won,lost,post_wins,post_losses,total_games,win_pct,post_win_pct,tenure_years,is_new_coach
meadoma99w,9,ATL,WNBA,0,4.0,30.0,0.0,0.0,34.0,0.11764705882352941,0.0,3,1
meadoma99w,10,ATL,WNBA,0,18.0,16.0,0.0,2.0,34.0,0.5294117647058824,0.0,3,0
meadoma99w,11,ATL,WNBA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0
dunntr01wc,1,CHA,WNBA,0,8.0,24.0,0.0,0.0,32.0,0.25,0.0,1,1
donovan99w,2,CHA,WNBA,0,18.0,14.0,4.0,4.0,32.0,0.5625,0.5,10,1
donovan99w,3,CHA,WNBA,0,18.0,14.0,0.0,2.0,32.0,0.5625,0.0,10,0
laceytr99w,4,CHA,WNBA,0,18.0,16.0,0.0,2.0,34.0,0.5294117647058824,0.0,8,1
laceytr99w,5,CHA,WNBA,0,16.0,18.0,0.0,0.0,34.0,0.47058823529411764,0.0,8,0
boguemu01w,6,CHA,WNBA,2,3.0,7.0,0.0,0.0,10.0,0.3,0.0,2,1
laceytr99w,6,CHA,WNBA,1,3.0,21.0,0.0,0.0,24.0,0.125,0.0,8,1
boguemu01w,7,CHA,WNBA,0,11.0,23.0,0.0,0.0,34.0,0.3235294117647059,0.0,2,1
cowenda01w,7,CHI,WNBA,0,5.0,29.0,0.0,0.0,34.0,0.14705882352941177,0.0,1,1
overtbo99w,8,CHI,WNBA,0,14.0,20.0,0.0,0.0,34.0,0.4117647058823529,0.0,1,1
keyst99wc,9,CHI,WNBA,0,12.0,22.0,0.0,0.0,34.0,0.35294117647058826,0.0,2,1
keyst99wc,10,CHI,WNBA,0,16.0,18.0,0.0,0.0,34.0,0.47058823529411764,0.0,2,0
chatmda99w,11,CHI,WNBA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
hugheda99w,1,CLE,WNBA,0,17.0,15.0,3.0,3.0,32.0,0.53125,0.5,11,1
hugheda99w,2,CLE,WNBA,0,22.0,10.0,1.0,2.0,32.0,0.6875,0.3333333333333333,11,0
hugheda99w,3,CLE,WNBA,0,10.0,22.0,0.0,0.0,32.0,0.3125,0.0,11,0
hugheda99w,4,CLE,WNBA,0,17.0,17.0,1.0,2.0,34.0,0.5,0.3333333333333333,11,0
thibami99w,4,CON,WNBA,0,18.0,16.0,2.0,2.0,34.0,0.5294117647058824,0.5,8,1
thibami99w,5,CON,WNBA,0,18.0,16.0,5.0,3.0,34.0,0.5294117647058824,0.625,8,0
thibami99w,6,CON,WNBA,0,26.0,8.0,5.0,3.0,34.0,0.7647058823529411,0.625,8,0
thibami99w,7,CON,WNBA,0,26.0,8.0,3.0,2.0,34.0,0.7647058823529411,0.6,8,0
thibami99w,8,CON,WNBA,0,18.0,16.0,1.0,2.0,34.0,0.5294117647058824,0.3333333333333333,8,0
thibami99w,9,CON,WNBA,0,21.0,13.0,1.0,2.0,34.0,0.6176470588235294,0.3333333333333333,8,0
thibami99w,10,CON,WNBA,0,16.0,18.0,0.0,0.0,34.0,0.47058823529411764,0.0,8,0
thibami99w,11,CON,WNBA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0
liebena01w,1,DET,WNBA,0,14.0,18.0,0.0,0.0,32.0,0.4375,0.0,1,1
willigr99w,2,DET,WNBA,0,10.0,22.0,0.0,0.0,32.0,0.3125,0.0,2,1
laimbbi01w,3,DET,WNBA,2,9.0,13.0,0.0,0.0,22.0,0.4090909090909091,0.0,8,1
willigr99w,3,DET,WNBA,1,0.0,10.0,0.0,0.0,10.0,0.0,0.0,2,1
laimbbi01w,4,DET,WNBA,0,25.0,9.0,6.0,2.0,34.0,0.7352941176470589,0.75,8,1
laimbbi01w,5,DET,WNBA,0,17.0,17.0,1.0,2.0,34.0,0.5,0.3333333333333333,8,0
laimbbi01w,6,DET,WNBA,0,16.0,18.0,0.0,2.0,34.0,0.47058823529411764,0.0,8,0
laimbbi01w,7,DET,WNBA,0,23.0,11.0,7.0,3.0,34.0,0.6764705882352942,0.7,8,0
laimbbi01w,8,DET,WNBA,0,24.0,10.0,6.0,5.0,34.0,0.7058823529411765,0.5454545454545454,8,0
laimbbi01w,9,DET,WNBA,0,22.0,12.0,7.0,2.0,34.0,0.6470588235294118,0.7777777777777778,8,0
laimbbi01w,10,DET,WNBA,1,1.0,2.0,0.0,0.0,3.0,0.3333333333333333,0.0,8,0
mahorri01w,10,DET,WNBA,2,17.0,14.0,3.0,2.0,31.0,0.5483870967741935,0.6,1,1
chancva99w,1,HOU,WNBA,0,27.0,5.0,6.0,0.0,32.0,0.84375,1.0,7,1
chancva99w,2,HOU,WNBA,0,19.0,13.0,0.0,2.0,32.0,0.59375,0.0,7,0
chancva99w,3,HOU,WNBA,0,24.0,8.0,1.0,2.0,32.0,0.75,0.3333333333333333,7,0
chancva99w,4,HOU,WNBA,0,20.0,14.0,1.0,2.0,34.0,0.5882352941176471,0.3333333333333333,7,0
chancva99w,5,HOU,WNBA,0,13.0,21.0,0.0,0.0,34.0,0.38235294117647056,0.0,7,0
chancva99w,6,HOU,WNBA,0,19.0,15.0,2.0,3.0,34.0,0.5588235294117647,0.4,7,0
chancva99w,7,HOU,WNBA,0,18.0,16.0,0.0,2.0,34.0,0.5294117647058824,0.0,7,0
thompka99w,8,HOU,WNBA,0,13.0,21.0,0.0,0.0,34.0,0.38235294117647056,0.0,5,1
thompka99w,9,HOU,WNBA,0,17.0,17.0,0.0,0.0,34.0,0.5,0.0,5,0
donovan99w,1,IND,WNBA,0,9.0,23.0,0.0,0.0,32.0,0.28125,0.0,10,1
fortnne99w,2,IND,WNBA,0,10.0,22.0,0.0,0.0,32.0,0.3125,0.0,3,1
fortnne99w,3,IND,WNBA,0,16.0,16.0,1.0,2.0,32.0,0.5,0.3333333333333333,3,0
fortnne99w,4,IND,WNBA,0,16.0,18.0,0.0,0.0,34.0,0.47058823529411764,0.0,3,0
wintebr01w,5,IND,WNBA,0,15.0,19.0,0.0,0.0,34.0,0.4411764705882353,0.0,4,1
wintebr01w,6,IND,WNBA,0,21.0,13.0,2.0,2.0,34.0,0.6176470588235294,0.5,4,0
wintebr01w,7,IND,WNBA,0,21.0,13.0,0.0,2.0,34.0,0.6176470588235294,0.0,4,0
wintebr01w,8,IND,WNBA,0,21.0,13.0,3.0,3.0,34.0,0.6176470588235294,0.5,4,0
dunnli99wc,9,IND,WNBA,0,17.0,17.0,1.0,2.0,34.0,0.5,0.3333333333333333,11,1
dunnli99wc,10,IND,WNBA,0,22.0,12.0,6.0,4.0,34.0,0.6470588235294118,0.6,11,0
dunnli99wc,11,IND,WNBA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0
coopemi01w,1,LAS,WNBA,0,28.0,4.0,2.0,2.0,32.0,0.875,0.5,10,1
coopemi01w,2,LAS,WNBA,0,28.0,4.0,6.0,1.0,32.0,0.875,0.8571428571428571,10,0
coopemi01w,3,LAS,WNBA,0,25.0,7.0,6.0,0.0,32.0,0.78125,1.0,10,0
coopemi01w,4,LAS,WNBA,0,24.0,10.0,5.0,4.0,34.0,0.7058823529411765,0.5555555555555556,10,0
coopemi01w,5,LAS,WNBA,1,14.0,6.0,0.0,0.0,20.0,0.7,0.0,10,0
thompka99w,5,LAS,WNBA,2,11.0,3.0,1.0,2.0,14.0,0.7857142857142857,0.3333333333333333,5,1
weisery99w,5,LAS,WNBA,2,11.0,3.0,1.0,2.0,14.0,0.7857142857142857,0.3333333333333333,1,1
bibbyhe01w,6,LAS,WNBA,1,13.0,15.0,0.0,0.0,28.0,0.4642857142857143,0.0,1,1
bryanjo01w,6,LAS,WNBA,2,4.0,2.0,0.0,2.0,6.0,0.6666666666666666,0.0,2,1
bryanjo01w,7,LAS,WNBA,0,25.0,9.0,2.0,3.0,34.0,0.7352941176470589,0.4,2,0
coopemi01w,8,LAS,WNBA,0,10.0,24.0,0.0,0.0,34.0,0.29411764705882354,0.0,10,1
coopemi01w,9,LAS,WNBA,0,20.0,14.0,3.0,3.0,34.0,0.5882352941176471,0.5,10,0
coopemi01w,10,LAS,WNBA,0,18.0,16.0,3.0,3.0,34.0,0.5294117647058824,0.5,10,0
gilloje01w,11,LAS,WNBA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
rothsro99w,1,MIA,WNBA,0,13.0,19.0,0.0,0.0,32.0,0.40625,0.0,3,1
rothsro99w,2,MIA,WNBA,0,20.0,12.0,1.0,2.0,32.0,0.625,0.3333333333333333,3,0
rothsro99w,3,MIA,WNBA,0,15.0,17.0,0.0,0.0,32.0,0.46875,0.0,3,0
aglerbr99w,1,MIN,WNBA,0,15.0,17.0,0.0,0.0,32.0,0.46875,0.0,11,1
aglerbr99w,2,MIN,WNBA,0,12.0,20.0,0.0,0.0,32.0,0.375,0.0,11,0
aglerbr99w,3,MIN,WNBA,1,6.0,13.0,0.0,0.0,19.0,0.3157894736842105,0.0,11,0
vandehe99w,3,MIN,WNBA,2,4.0,9.0,0.0,0.0,13.0,0.3076923076923077,0.0,1,1
mcconsu01w,4,MIN,WNBA,0,18.0,16.0,1.0,2.0,34.0,0.5294117647058824,0.3333333333333333,4,1
mcconsu01w,5,MIN,WNBA,0,18.0,16.0,0.0,2.0,34.0,0.5294117647058824,0.0,4,0
mcconsu01w,6,MIN,WNBA,0,14.0,20.0,0.0,0.0,34.0,0.4117647058823529,0.0,4,0
jenkica99w,7,MIN,WNBA,2,1.0,10.0,0.0,0.0,11.0,0.09090909090909091,0.0,1,1
mcconsu01w,7,MIN,WNBA,1,9.0,14.0,0.0,0.0,23.0,0.391304347826087,0.0,4,1
zierddo99w,8,MIN,WNBA,0,10.0,24.0,0.0,0.0,34.0,0.29411764705882354,0.0,2,1
zierddo99w,9,MIN,WNBA,0,16.0,18.0,0.0,0.0,34.0,0.47058823529411764,0.0,2,0
gilloje01w,10,MIN,WNBA,0,14.0,20.0,0.0,0.0,34.0,0.4117647058823529,0.0,2,1
reevech99w,11,MIN,WNBA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
adubari99w,1,NYL,WNBA,0,20.0,12.0,4.0,3.0,32.0,0.625,0.5714285714285714,8,1
adubari99w,2,NYL,WNBA,0,21.0,11.0,3.0,3.0,32.0,0.65625,0.5,8,0
adubari99w,3,NYL,WNBA,0,18.0,14.0,4.0,4.0,32.0,0.5625,0.5,8,0
adubari99w,4,NYL,WNBA,0,16.0,18.0,0.0,0.0,34.0,0.47058823529411764,0.0,8,0
adubari99w,5,NYL,WNBA,1,7.0,9.0,0.0,0.0,16.0,0.4375,0.0,8,0
coylepa99w,5,NYL,WNBA,2,11.0,7.0,2.0,3.0,18.0,0.6111111111111112,0.4,6,1
coylepa99w,6,NYL,WNBA,0,18.0,16.0,0.0,2.0,34.0,0.5294117647058824,0.0,6,0
coylepa99w,7,NYL,WNBA,0,11.0,23.0,0.0,0.0,34.0,0.3235294117647059,0.0,6,0
coylepa99w,8,NYL,WNBA,0,16.0,18.0,1.0,2.0,34.0,0.47058823529411764,0.3333333333333333,6,0
coylepa99w,9,NYL,WNBA,0,19.0,15.0,3.0,3.0,34.0,0.5588235294117647,0.5,6,0
coylepa99w,10,NYL,WNBA,1,6.0,11.0,0.0,0.0,17.0,0.35294117647058826,0.0,6,0
donovan99w,10,NYL,WNBA,2,7.0,10.0,0.0,0.0,17.0,0.4117647058823529,0.0,10,1
whisejo99w,11,NYL,WNBA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1
peckca99wc,1,ORL,WNBA,0,16.0,16.0,1.0,2.0,32.0,0.5,0.3333333333333333,2,1
peckca99wc,2,ORL,WNBA,0,13.0,19.0,0.0,0.0,32.0,0.40625,0.0,2,0
brownde01w,3,ORL,WNBA,0,16.0,16.0,0.0,0.0,32.0,0.5,0.0,3,1
millech99w,1,PHO,WNBA,0,20.0,12.0,0.0,2.0,32.0,0.625,0.0,1,1
coopecy01w,2,PHO,WNBA,0,13.0,19.0,0.0,0.0,32.0,0.40625,0.0,2,1
coopecy01w,3,PHO,WNBA,1,6.0,4.0,0.0,0.0,10.0,0.6,0.0,2,0
sharpli99w,3,PHO,WNBA,2,5.0,17.0,0.0,0.0,22.0,0.22727272727272727,0.0,1,1
shumajo01w,4,PHO,WNBA,0,8.0,26.0,0.0,0.0,34.0,0.23529411764705882,0.0,1,1
grafca99wc,5,PHO,WNBA,0,17.0,17.0,0.0,0.0,34.0,0.5,0.0,2,1
grafca99wc,6,PHO,WNBA,0,16.0,18.0,0.0,0.0,34.0,0.47058823529411764,0.0,2,0
westhpa99w,7,PHO,WNBA,0,18.0,16.0,0.0,0.0,34.0,0.5294117647058824,0.0,2,1
westhpa99w,8,PHO,WNBA,0,23.0,11.0,7.0,2.0,34.0,0.6764705882352942,0.7777777777777778,2,0
gaineco01w,9,PHO,WNBA,0,16.0,18.0,0.0,0.0,34.0,0.47058823529411764,0.0,3,1
gaineco01w,10,PHO,WNBA,0,23.0,11.0,7.0,4.0,34.0,0.6764705882352942,0.6363636363636364,3,0
gaineco01w,11,PHO,WNBA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0
hargrli99w,1,POR,WNBA,0,10.0,22.0,0.0,0.0,32.0,0.3125,0.0,3,1
hargrli99w,2,POR,WNBA,0,11.0,21.0,0.0,0.0,32.0,0.34375,0.0,3,0
hargrli99w,3,POR,WNBA,0,16.0,16.0,0.0,0.0,32.0,0.5,0.0,3,0
allenso99w,1,SAC,WNBA,0,21.0,11.0,0.0,2.0,32.0,0.65625,0.0,2,1
allenso99w,2,SAC,WNBA,1,6.0,6.0,0.0,0.0,12.0,0.5,0.0,2,0
mchugma99w,2,SAC,WNBA,2,14.0,6.0,3.0,2.0,20.0,0.7,0.6,3,1
mchugma99w,3,SAC,WNBA,0,14.0,18.0,0.0,0.0,32.0,0.4375,0.0,3,0
mchugma99w,4,SAC,WNBA,1,7.0,11.0,0.0,0.0,18.0,0.3888888888888889,0.0,3,0
whisejo99w,4,SAC,WNBA,2,12.0,4.0,3.0,3.0,16.0,0.75,0.5,8,1
whisejo99w,5,SAC,WNBA,0,18.0,16.0,3.0,3.0,34.0,0.5294117647058824,0.5,8,0
whisejo99w,6,SAC,WNBA,0,25.0,9.0,7.0,1.0,34.0,0.7352941176470589,0.875,8,0
whisejo99w,7,SAC,WNBA,0,21.0,13.0,6.0,3.0,34.0,0.6176470588235294,0.6666666666666666,8,0
bouceje01w,8,SAC,WNBA,0,19.0,15.0,1.0,2.0,34.0,0.5588235294117647,0.3333333333333333,3,1
bouceje01w,9,SAC,WNBA,0,18.0,16.0,1.0,2.0,34.0,0.5294117647058824,0.3333333333333333,3,0
bouceje01w,10,SAC,WNBA,1,3.0,10.0,0.0,0.0,13.0,0.23076923076923078,0.0,3,0
whisejo99w,10,SAC,WNBA,2,9.0,12.0,0.0,0.0,21.0,0.42857142857142855,0.0,8,1
dailesh99w,4,SAS,WNBA,2,6.0,6.0,0.0,0.0,12.0,0.5,0.0,2,1
harveca99w,4,SAS,WNBA,1,6.0,16.0,0.0,0.0,22.0,0.2727272727272727,0.0,3,1
brownde01w,5,SAS,WNBA,2,6.0,20.0,0.0,0.0,26.0,0.23076923076923078,0.0,3,1
dailesh99w,5,SAS,WNBA,1,3.0,5.0,0.0,0.0,8.0,0.375,0.0,2,1
hugheda99w,6,SAS,WNBA,0,7.0,27.0,0.0,0.0,34.0,0.20588235294117646,0.0,11,1
hugheda99w,7,SAS,WNBA,0,13.0,21.0,0.0,0.0,34.0,0.38235294117647056,0.0,11,0
hugheda99w,8,SAS,WNBA,0,20.0,14.0,2.0,3.0,34.0,0.5882352941176471,0.4,11,0
hugheda99w,9,SAS,WNBA,0,24.0,10.0,4.0,5.0,34.0,0.7058823529411765,0.4444444444444444,11,0
hugheda99w,10,SAS,WNBA,0,15.0,19.0,1.0,2.0,34.0,0.4411764705882353,0.3333333333333333,11,0
hugheda99w,11,SAS,WNBA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0
dunnli99wc,1,SEA,WNBA,0,6.0,26.0,0.0,0.0,32.0,0.1875,0.0,11,1
dunnli99wc,2,SEA,WNBA,0,10.0,22.0,0.0,0.0,32.0,0.3125,0.0,11,0
dunnli99wc,3,SEA,WNBA,0,17.0,15.0,0.0,2.0,32.0,0.53125,0.0,11,0
donovan99w,4,SEA,WNBA,0,18.0,16.0,0.0,0.0,34.0,0.5294117647058824,0.0,10,1
donovan99w,5,SEA,WNBA,0,20.0,14.0,6.0,2.0,34.0,0.5882352941176471,0.75,10,0
donovan99w,6,SEA,WNBA,0,20.0,14.0,1.0,2.0,34.0,0.5882352941176471,0.3333333333333333,10,0
donovan99w,7,SEA,WNBA,0,18.0,16.0,1.0,2.0,34.0,0.5294117647058824,0.3333333333333333,10,0
donovan99w,8,SEA,WNBA,0,17.0,17.0,0.0,2.0,34.0,0.5,0.0,10,0
aglerbr99w,9,SEA,WNBA,0,22.0,12.0,1.0,2.0,34.0,0.6470588235294118,0.3333333333333333,11,1
aglerbr99w,10,SEA,WNBA,0,20.0,14.0,1.0,2.0,34.0,0.5882352941176471,0.3333333333333333,11,0
aglerbr99w,11,SEA,WNBA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0
richano99w,11,TUL,WNBA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
willifr99w,1,UTA,WNBA,0,18.0,14.0,0.0,0.0,32.0,0.5625,0.0,2,1
harveca99w,2,UTA,WNBA,2,14.0,5.0,0.0,2.0,19.0,0.7368421052631579,0.0,3,1
willifr99w,2,UTA,WNBA,1,5.0,8.0,0.0,0.0,13.0,0.38461538461538464,0.0,2,1
harveca99w,3,UTA,WNBA,0,20.0,12.0,2.0,3.0,32.0,0.625,0.4,3,1
darscna99w,1,WAS,WNBA,1,9.0,11.0,0.0,0.0,20.0,0.45,0.0,1,1
walkeda01w,1,WAS,WNBA,2,5.0,7.0,0.0,2.0,12.0,0.4166666666666667,0.0,1,1
maherto99w,2,WAS,WNBA,0,10.0,22.0,0.0,0.0,32.0,0.3125,0.0,1,1
stanlma99w,3,WAS,WNBA,0,17.0,15.0,3.0,2.0,32.0,0.53125,0.6,2,1
stanlma99w,4,WAS,WNBA,0,9.0,25.0,0.0,0.0,34.0,0.2647058823529412,0.0,2,0
adamsmi01w,5,WAS,WNBA,0,17.0,17.0,1.0,2.0,34.0,0.5,0.3333333333333333,1,1
adubari99w,6,WAS,WNBA,0,16.0,18.0,0.0,0.0,34.0,0.47058823529411764,0.0,8,1
adubari99w,7,WAS,WNBA,0,18.0,16.0,0.0,2.0,34.0,0.5294117647058824,0.0,8,0
adubari99w,8,WAS,WNBA,1,0.0,4.0,0.0,0.0,4.0,0.0,0.0,8,0
rollitr01w,8,WAS,WNBA,2,16.0,14.0,0.0,0.0,30.0,0.5333333333333333,0.0,2,1
kenlaje99w,9,WAS,WNBA,2,2.0,10.0,0.0,0.0,12.0,0.16666666666666666,0.0,1,1
rollitr01w,9,WAS,WNBA,1,8.0,14.0,0.0,0.0,22.0,0.36363636363636365,0.0,2,1
plankju99w,10,WAS,WNBA,0,16.0,18.0,0.0,2.0,34.0,0.47058823529411764,0.0,1,1
laceytr99w,11,WAS,WNBA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1
